LANGUAGE,GLOTTOCODE,CONCEPT,COGNATE
Gothic,goth1244,AT,at_r
Hindi,hind1269,AT,at_g
Hindi,hind1269,AT,at_l
Icelandic,icel1247,AT,at_0
Icelandic,icel1247,AT,at_u
Irish,iris1253,AT,at_r
Italian,ital1282,AT,at_r
Kashmiri,kash1277,AT,at_f
Ladin,ladi1250,AT,at_r
Lahnda,lahn1241,AT,at_h
Latin,lati1261,AT,at_r
Latvian,latv1249,AT,at_0
Latvian,latv1249,AT,at_n
Lithuanian,lith1251,AT,at_b
Lithuanian,lith1251,AT,at_n
Lower_Sorbian,lowe1385,AT,at_j
Luxembourgish,luxe1243,AT,at_0
Luxembourgish,luxe1243,AT,at_i
Luxembourgish,luxe1243,AT,at_t
Macedonian,mace1250,AT,at_p
Macedonian,mace1250,AT,at_q
Marathi,mara1378,AT,at_g
Marathi,mara1378,AT,at_h
Marathi,mara1378,AT,at_l
Modern_Greek,mode1248,AT,at_e
Nepali,nepa1254,AT,at_g
Norwegian,norw1258,AT,at_u
Nuorese,nuor1238,AT,at_r
Old_Church_Slavic,chur1257,AT,at_n
Old_Church_Slavic,chur1257,AT,at_p
Old_English,olde1238,AT,at_r
Old_High_German,oldh1241,AT,at_n
Old_High_German,oldh1241,AT,at_r
Old_Irish,oldi1246,AT,at_0
Old_Prussian,prus1238,AT,at_n
Old_West_Norse,oldw1240,AT,at_r
Old_West_Norse,oldw1240,AT,at_u
Oriya,oriy1255,AT,at_m
Panjabi,panj1256,AT,at_g
Panjabi,panj1256,AT,at_l
Pashto,pash1269,AT,at_a
Pashto,pash1269,AT,at_z
Polish,poli1260,AT,at_j
Polish,poli1260,AT,at_n
Portuguese,port1283,AT,at_j
Portuguese,port1283,AT,at_s
Provencal,prov1235,AT,at_r
Romani,roma1329,AT,at_af
Romanian,megl1237,AT,at_0
Romanian,megl1237,AT,at_r
Romansh,roma1326,AT,at_r
Russian,russ1263,AT,at_j
Russian,russ1263,AT,at_p
Sariqoli,sari1246,AT,at_ae
Scots_Gaelic,scot1245,AT,at_r
Serbian,sout1528,AT,at_n
Serbian,sout1528,AT,at_o
Serbian,sout1528,AT,at_p
Sindhi,sind1272,AT,at_0
Singhalese,sinh1246,AT,at_ag
Slovak,slov1269,AT,at_n
Slovenian,slov1268,AT,at_o
Slovenian,slov1268,AT,at_q
Sogdian,sogd1245,AT,at_x
Spanish,stan1288,AT,at_r
Swedish,swed1254,AT,at_0
Swedish,swed1254,AT,at_u
Swiss_German,swis1247,AT,at_t
Tajik,taji1245,AT,at_ac
Tajik,taji1245,AT,at_ad
Tocharian_A,tokh1242,AT,at_b
Tocharian_B,tokh1243,AT,at_b
Tosk,alba1268,AT,at_0
Ukrainian,ukra1253,AT,at_0
Ukrainian,ukra1253,AT,at_j
Ukrainian,ukra1253,AT,at_n
Ukrainian,ukra1253,AT,at_q
Upper_Sorbian,uppe1395,AT,at_n
Urdu,urdu1245,AT,at_l
Vedic_Sanskrit,sans1269,AT,at_h
Vedic_Sanskrit,sans1269,AT,at_i
Wakhi,wakh1245,AT,at_y
Wakhi,wakh1245,AT,at_z
Walloon,wall1255,AT,at_r
Waziri,waci1238,AT,at_k
Welsh,wels1247,AT,at_j
Welsh,wels1247,AT,at_w
Zazaki,kirm1248,AT,at_ab
Zazaki,kirm1248,AT,at_z
Adapazar,homs1234,BACK,back_0
Afrikaans,afri1274,BACK,back_r
Ancient_Greek,anci1242,BACK,back_e
Assamese,assa1263,BACK,back_g
Avestan,aves1237,BACK,back_g
Baluchi,east2304,BACK,back_g
Belarusian,bela1254,BACK,back_0
Bengali,beng1280,BACK,back_g
Bihari,biha1245,BACK,back_g
Bihari,biha1245,BACK,back_y
Breton,bret1244,BACK,back_i
Catalan,stan1289,BACK,back_c
Catalan,stan1289,BACK,back_f
Classical_Armenian,clas1256,BACK,back_0
Cornish,corn1251,BACK,back_i
Czech,czec1258,BACK,back_0
Danish,dani1285,BACK,back_b
Digor_Ossetic,digo1242,BACK,back_t
Dutch,cent2352,BACK,back_r
Eastern_Armenian,nucl1235,BACK,back_0
English,stan1293,BACK,back_b
Faroese,faro1244,BACK,back_b
Faroese,faro1244,BACK,back_r
Flemish,cent2353,BACK,back_r
French,stan1290,BACK,back_h
Frisian,fris1239,BACK,back_r
Friulian,friu1240,BACK,back_f
German,stan1295,BACK,back_r
Gothic,goth1244,BACK,back_0
Gothic,goth1244,BACK,back_e
Gujarati,guja1252,BACK,back_0
Gujarati,guja1252,BACK,back_g
Hindi,hind1269,BACK,back_g
Hittite,hitt1242,BACK,back_0
Icelandic,icel1247,BACK,back_b
Irish,iris1253,BACK,back_n
Italian,ital1282,BACK,back_h
Kashmiri,kash1277,BACK,back_g
Ladin,ladi1250,BACK,back_h
Ladin,ladi1250,BACK,back_s
Lahnda,lahn1241,BACK,back_g
Latin,lati1261,BACK,back_0
Latin,lati1261,BACK,back_h
Latvian,latv1249,BACK,back_o
Lithuanian,lith1251,BACK,back_o
Lower_Sorbian,lowe1385,BACK,back_j
Luxembourgish,luxe1243,BACK,back_r
Macedonian,mace1250,BACK,back_j
Marathi,mara1378,BACK,back_g
Marwari,marw1260,BACK,back_z
Modern_Greek,mode1248,BACK,back_l
Nepali,nepa1254,BACK,back_g
Norwegian,norw1258,BACK,back_r
Old_Church_Slavic,chur1257,BACK,back_j
Old_Church_Slavic,chur1257,BACK,back_u
Old_English,olde1238,BACK,back_b
Old_English,olde1238,BACK,back_r
Old_High_German,oldh1241,BACK,back_r
Old_Irish,oldi1246,BACK,back_0
Old_Irish,oldi1246,BACK,back_n
Old_Prussian,prus1238,BACK,back_0
Old_West_Norse,oldw1240,BACK,back_b
Old_West_Norse,oldw1240,BACK,back_r
Oriya,oriy1255,BACK,back_g
Panjabi,panj1256,BACK,back_g
Pashto,pash1269,BACK,back_a
Persian,west2369,BACK,back_g
Polish,poli1260,BACK,back_p
Portuguese,port1283,BACK,back_0
Portuguese,port1283,BACK,back_h
Provencal,prov1235,BACK,back_f
Provencal,prov1235,BACK,back_h
Romani,roma1329,BACK,back_m
Romanian,megl1237,BACK,back_c
Romanian,megl1237,BACK,back_h
Romansh,roma1326,BACK,back_h
Russian,russ1263,BACK,back_q
Sariqoli,sari1246,BACK,back_m
Sariqoli,sari1246,BACK,back_v
Scots_Gaelic,scot1245,BACK,back_n
Serbian,sout1528,BACK,back_u
Shughni,shug1248,BACK,back_m
Sindhi,sind1272,BACK,back_g
Singhalese,sinh1246,BACK,back_g
Slovenian,slov1268,BACK,back_j
Sogdian,sogd1245,BACK,back_g
Spanish,stan1288,BACK,back_c
Spanish,stan1288,BACK,back_h
Swedish,swed1254,BACK,back_r
Swiss_German,swis1247,BACK,back_r
Tajik,taji1245,BACK,back_g
Tocharian_B,tokh1243,BACK,back_0
Tosk,alba1268,BACK,back_q
Ukrainian,ukra1253,BACK,back_e
Ukrainian,ukra1253,BACK,back_q
Upper_Sorbian,uppe1395,BACK,back_j
Urdu,urdu1245,BACK,back_w
Vedic_Sanskrit,sans1269,BACK,back_g
Wakhi,wakh1245,BACK,back_m
Wakhi,wakh1245,BACK,back_v
Walloon,wall1255,BACK,back_s
Waziri,waci1238,BACK,back_a
Welsh,wels1247,BACK,back_0
Welsh,wels1247,BACK,back_i
Zazaki,kirm1248,BACK,back_g
Adapazar,homs1234,BAD,bad_0
Afrikaans,afri1274,BAD,bad_b
Ancient_Greek,anci1242,BAD,bad_0
Ancient_Greek,anci1242,BAD,bad_i
Arumanian,arom1237,BAD,bad_n
Arvanitika,arva1236,BAD,bad_i
