DOCULECT,GLOTTOCODE,CONCEPT,CONCEPTICON_GLOSS,CONCEPTICON_ID,COGNATE
Welsh,wels1247,and,AND,1577,and_g
Zazaki,kirm1248,and,AND,1577,and_0
Adapazar,homs1234,animal,ANIMAL,619,animal_o
Afrikaans,afri1274,animal,ANIMAL,619,animal_a
Ancient_Greek,anci1242,animal,ANIMAL,619,animal_g
Ancient_Greek,anci1242,animal,ANIMAL,619,animal_h
Arvanitika,arva1236,animal,ANIMAL,619,animal_c
Assamese,assa1263,animal,ANIMAL,619,animal_f
Assamese,assa1263,animal,ANIMAL,619,animal_p
Baluchi,east2304,animal,ANIMAL,619,animal_d
Belarusian,bela1254,animal,ANIMAL,619,animal_h
Bengali,beng1280,animal,ANIMAL,619,animal_d
Bihari,biha1245,animal,ANIMAL,619,animal_d
Breton,bret1244,animal,ANIMAL,619,animal_f
Breton,bret1244,animal,ANIMAL,619,animal_m
Bulgarian,bulg1262,animal,ANIMAL,619,animal_g
Cagliari,sard1257,animal,ANIMAL,619,animal_f
Catalan,stan1289,animal,ANIMAL,619,animal_f
Classical_Armenian,clas1256,animal,ANIMAL,619,animal_o
Cornish,corn1251,animal,ANIMAL,619,animal_f
Cornish,corn1251,animal,ANIMAL,619,animal_i
Czech,czec1258,animal,ANIMAL,619,animal_h
Danish,dani1285,animal,ANIMAL,619,animal_a
Digor_Ossetic,digo1242,animal,ANIMAL,619,animal_e
Dutch,cent2352,animal,ANIMAL,619,animal_a
Eastern_Armenian,nucl1235,animal,ANIMAL,619,animal_0
English,stan1293,animal,ANIMAL,619,animal_f
Faroese,faro1244,animal,ANIMAL,619,animal_a
Flemish,cent2353,animal,ANIMAL,619,animal_a
Flemish,cent2353,animal,ANIMAL,619,animal_i
French,stan1290,animal,ANIMAL,619,animal_f
Frisian,fris1239,animal,ANIMAL,619,animal_a
Frisian,fris1239,animal,ANIMAL,619,animal_i
Friulian,friu1240,animal,ANIMAL,619,animal_f
German,stan1295,animal,ANIMAL,619,animal_a
Gothic,goth1244,animal,ANIMAL,619,animal_a
Gujarati,guja1252,animal,ANIMAL,619,animal_d
Gujarati,guja1252,animal,ANIMAL,619,animal_f
Hindi,hind1269,animal,ANIMAL,619,animal_d
Hittite,hitt1242,animal,ANIMAL,619,animal_0
Hittite,hitt1242,animal,ANIMAL,619,animal_n
Icelandic,icel1247,animal,ANIMAL,619,animal_a
Irish,iris1253,animal,ANIMAL,619,animal_f
Italian,ital1282,animal,ANIMAL,619,animal_f
Kashmiri,kash1277,animal,ANIMAL,619,animal_d
Ladin,ladi1250,animal,ANIMAL,619,animal_f
Lahnda,lahn1241,animal,ANIMAL,619,animal_d
Latin,lati1261,animal,ANIMAL,619,animal_f
Latin,lati1261,animal,ANIMAL,619,animal_i
Latvian,latv1249,animal,ANIMAL,619,animal_0
Latvian,latv1249,animal,ANIMAL,619,animal_g
Latvian,latv1249,animal,ANIMAL,619,animal_h
Lithuanian,lith1251,animal,ANIMAL,619,animal_g
Lithuanian,lith1251,animal,ANIMAL,619,animal_h
Lower_Sorbian,lowe1385,animal,ANIMAL,619,animal_h
Luxembourgish,luxe1243,animal,ANIMAL,619,animal_a
Macedonian,mace1250,animal,ANIMAL,619,animal_h
Marathi,mara1378,animal,ANIMAL,619,animal_d
Marathi,mara1378,animal,ANIMAL,619,animal_f
Marwari,marw1260,animal,ANIMAL,619,animal_d
Modern_Greek,mode1248,animal,ANIMAL,619,animal_g
Nepali,nepa1254,animal,ANIMAL,619,animal_d
Nepali,nepa1254,animal,ANIMAL,619,animal_k
Norwegian,norw1258,animal,ANIMAL,619,animal_a
Nuorese,nuor1238,animal,ANIMAL,619,animal_f
Old_Church_Slavic,chur1257,animal,ANIMAL,619,animal_g
Old_Church_Slavic,chur1257,animal,ANIMAL,619,animal_h
Old_English,olde1238,animal,ANIMAL,619,animal_a
Old_High_German,oldh1241,animal,ANIMAL,619,animal_a
Old_Irish,oldi1246,animal,ANIMAL,619,animal_f
Old_Prussian,prus1238,animal,ANIMAL,619,animal_f
Old_Prussian,prus1238,animal,ANIMAL,619,animal_h
Old_West_Norse,oldw1240,animal,ANIMAL,619,animal_a
Oriya,oriy1255,animal,ANIMAL,619,animal_f
Oriya,oriy1255,animal,ANIMAL,619,animal_k
Oriya,oriy1255,animal,ANIMAL,619,animal_p
Panjabi,panj1256,animal,ANIMAL,619,animal_d
Pashto,pash1269,animal,ANIMAL,619,animal_j
Persian,west2369,animal,ANIMAL,619,animal_d
Persian,west2369,animal,ANIMAL,619,animal_j
Polish,poli1260,animal,ANIMAL,619,animal_h
Portuguese,port1283,animal,ANIMAL,619,animal_f
Provencal,prov1235,animal,ANIMAL,619,animal_f
Romanian,megl1237,animal,ANIMAL,619,animal_f
Romansh,roma1326,animal,ANIMAL,619,animal_f
Russian,russ1263,animal,ANIMAL,619,animal_g
Sariqoli,sari1246,animal,ANIMAL,619,animal_d
Sariqoli,sari1246,animal,ANIMAL,619,animal_j
Scots_Gaelic,scot1245,animal,ANIMAL,619,animal_f
Serbian,sout1528,animal,ANIMAL,619,animal_g
Shughni,shug1248,animal,ANIMAL,619,animal_j
Sindhi,sind1272,animal,ANIMAL,619,animal_d
Singhalese,sinh1246,animal,ANIMAL,619,animal_0
Slovak,slov1269,animal,ANIMAL,619,animal_h
Slovenian,slov1268,animal,ANIMAL,619,animal_g
Sogdian,sogd1245,animal,ANIMAL,619,animal_b
Spanish,stan1288,animal,ANIMAL,619,animal_f
Swedish,swed1254,animal,ANIMAL,619,animal_a
Swiss_German,swis1247,animal,ANIMAL,619,animal_a
Tajik,taji1245,animal,ANIMAL,619,animal_d
Tajik,taji1245,animal,ANIMAL,619,animal_j
Tocharian_A,tokh1242,animal,ANIMAL,619,animal_l
Tocharian_B,tokh1243,animal,ANIMAL,619,animal_l
Tosk,alba1268,animal,ANIMAL,619,animal_c
Ukrainian,ukra1253,animal,ANIMAL,619,animal_0
Upper_Sorbian,uppe1395,animal,ANIMAL,619,animal_h
Urdu,urdu1245,animal,ANIMAL,619,animal_d
Vedic_Sanskrit,sans1269,animal,ANIMAL,619,animal_0
Vedic_Sanskrit,sans1269,animal,ANIMAL,619,animal_k
Walloon,wall1255,animal,ANIMAL,619,animal_i
Waziri,waci1238,animal,ANIMAL,619,animal_d
Welsh,wels1247,animal,ANIMAL,619,animal_f
Zazaki,kirm1248,animal,ANIMAL,619,animal_j
Adapazar,homs1234,ashes,ASH,646,ashes_c
Afrikaans,afri1274,ashes,ASH,646,ashes_a
Ancient_Greek,anci1242,ashes,ASH,646,ashes_0
Ancient_Greek,anci1242,ashes,ASH,646,ashes_l
Arumanian,arom1237,ashes,ASH,646,ashes_e
Arvanitika,arva1236,ashes,ASH,646,ashes_e
Assamese,assa1263,ashes,ASH,646,ashes_m
Avestan,aves1237,ashes,ASH,646,ashes_q
Baluchi,east2304,ashes,ASH,646,ashes_d
Belarusian,bela1254,ashes,ASH,646,ashes_g
Bengali,beng1280,ashes,ASH,646,ashes_m
Bihari,biha1245,ashes,ASH,646,ashes_m
Breton,bret1244,ashes,ASH,646,ashes_f
Bulgarian,bulg1262,ashes,ASH,646,ashes_g
Cagliari,sard1257,ashes,ASH,646,ashes_e
Catalan,stan1289,ashes,ASH,646,ashes_e
Classical_Armenian,clas1256,ashes,ASH,646,ashes_a
Classical_Armenian,clas1256,ashes,ASH,646,ashes_c
Cornish,corn1251,ashes,ASH,646,ashes_f
Czech,czec1258,ashes,ASH,646,ashes_g
Danish,dani1285,ashes,ASH,646,ashes_a
Digor_Ossetic,digo1242,ashes,ASH,646,ashes_p
Dutch,cent2352,ashes,ASH,646,ashes_a
Eastern_Armenian,nucl1235,ashes,ASH,646,ashes_c
English,stan1293,ashes,ASH,646,ashes_a
Faroese,faro1244,ashes,ASH,646,ashes_a
Flemish,cent2353,ashes,ASH,646,ashes_a
French,stan1290,ashes,ASH,646,ashes_e
Frisian,fris1239,ashes,ASH,646,ashes_a
Friulian,friu1240,ashes,ASH,646,ashes_e
German,stan1295,ashes,ASH,646,ashes_a
Gothic,goth1244,ashes,ASH,646,ashes_a
Gujarati,guja1252,ashes,ASH,646,ashes_i
Hindi,hind1269,ashes,ASH,646,ashes_i
Hittite,hitt1242,ashes,ASH,646,ashes_a
Icelandic,icel1247,ashes,ASH,646,ashes_a
Irish,iris1253,ashes,ASH,646,ashes_f
Italian,ital1282,ashes,ASH,646,ashes_e
Kashmiri,kash1277,ashes,ASH,646,ashes_k
Kurdish,kurd1259,ashes,ASH,646,ashes_r
Ladin,ladi1250,ashes,ASH,646,ashes_e
Lahnda,lahn1241,ashes,ASH,646,ashes_k
Latin,lati1261,ashes,ASH,646,ashes_e
Latvian,latv1249,ashes,ASH,646,ashes_g
Lithuanian,lith1251,ashes,ASH,646,ashes_g
Lower_Sorbian,lowe1385,ashes,ASH,646,ashes_g
Luxembourgish,luxe1243,ashes,ASH,646,ashes_a
Macedonian,mace1250,ashes,ASH,646,ashes_g
Marathi,mara1378,ashes,ASH,646,ashes_i
Marathi,mara1378,ashes,ASH,646,ashes_n
Marwari,marw1260,ashes,ASH,646,ashes_i
Marwari,marw1260,ashes,ASH,646,ashes_n
Modern_Greek,mode1248,ashes,ASH,646,ashes_h
Nepali,nepa1254,ashes,ASH,646,ashes_j
Norwegian,norw1258,ashes,ASH,646,ashes_a
Nuorese,nuor1238,ashes,ASH,646,ashes_e
Old_Church_Slavic,chur1257,ashes,ASH,646,ashes_g
Old_English,olde1238,ashes,ASH,646,ashes_a
Old_High_German,oldh1241,ashes,ASH,646,ashes_a
Old_Irish,oldi1246,ashes,ASH,646,ashes_f
Old_Prussian,prus1238,ashes,ASH,646,ashes_g
Old_West_Norse,oldw1240,ashes,ASH,646,ashes_a
Oriya,oriy1255,ashes,ASH,646,ashes_0
Oriya,oriy1255,ashes,ASH,646,ashes_n
Panjabi,panj1256,ashes,ASH,646,ashes_k
Pashto,pash1269,ashes,ASH,646,ashes_q
Persian,west2369,ashes,ASH,646,ashes_j
Polish,poli1260,ashes,ASH,646,ashes_g
Portuguese,port1283,ashes,ASH,646,ashes_e
Provencal,prov1235,ashes,ASH,646,ashes_e
Romani,roma1329,ashes,ASH,646,ashes_s
Romanian,megl1237,ashes,ASH,646,ashes_e
Romansh,roma1326,ashes,ASH,646,ashes_e
Russian,russ1263,ashes,ASH,646,ashes_0
Sariqoli,sari1246,ashes,ASH,646,ashes_q
Scots_Gaelic,scot1245,ashes,ASH,646,ashes_f
Serbian,sout1528,ashes,ASH,646,ashes_g
Shughni,shug1248,ashes,ASH,646,ashes_q
Singhalese,sinh1246,ashes,ASH,646,ashes_0
Slovak,slov1269,ashes,ASH,646,ashes_g
Slovenian,slov1268,ashes,ASH,646,ashes_g
Sogdian,sogd1245,ashes,ASH,646,ashes_q
Spanish,stan1288,ashes,ASH,646,ashes_e
Swedish,swed1254,ashes,ASH,646,ashes_a
Swedish,swed1254,ashes,ASH,646,ashes_h
